category,year,adjusted_expenditure
Communication,2012,13.248000000000001
Recreation & culture,2012,59.04
Education,2012,6.528
Restaurants & hotels,2012,38.88
Miscellaneous goods & services,2012,36.864
Other expenditure items,2012,65.568
Average per person,2012,200.35199999999998
Food & non-alcoholic drinks,2013,57.7416
"Alcoholic drinks, tobacco & narcotics",2013,11.784
Clothing & footwear,2013,22.1932
Housing fuel & power,2013,73.06080000000001
Household goods & services,2013,32.5042
Health,2013,6.0884
Transport,2013,69.1328
Communication,2013,14.239
Recreation & culture,2013,62.74980000000001
Education,2013,8.6416
Restaurants & hotels,2013,39.6728
Miscellaneous goods & services,2013,38.3962
Other expenditure items,2013,71.686
Average per person,2013,215.45080000000002
Food & non-alcoholic drinks,2014,58.5648
"Alcoholic drinks, tobacco & narcotics",2014,12.2508
Clothing & footwear,2014,23.6052
Housing fuel & power,2014,72.4092
Household goods & services,2014,35.258399999999995
Health,2014,7.0716
Transport,2014,74.50079999999998
Communication,2014,15.437999999999999
Recreation & culture,2014,68.5248
Education,2014,9.7608
Restaurants & hotels,2014,42.33
Miscellaneous goods & services,2014,39.84
Other expenditure items,2014,69.8196
Average per person,2014,220.91279999999998
Food & non-alcoholic drinks,2014,58.06679999999999
"Alcoholic drinks, tobacco & narcotics",2014,11.951999999999998
Clothing & footwear,2014,23.6052
Housing fuel & power,2014,72.5088
Household goods & services,2014,36.553200000000004
Health,2014,6.9719999999999995
Transport,2014,73.0068
Communication,2014,15.437999999999999
Recreation & culture,2014,69.0228
Education,2014,8.964
Restaurants & hotels,2014,42.33
Miscellaneous goods & services,2014,40.2384
Other expenditure items,2014,66.6324
Average per person,2014,220.31519999999998
Food & non-alcoholic drinks,2015,56.8
"Alcoholic drinks, tobacco & narcotics",2015,11.4
Clothing & footwear,2015,23.5
Housing fuel & power,2015,72.5
Household goods & services,2015,35.5
Health,2015,7.2
Transport,2015,72.7
Communication,2015,16.0
Recreation & culture,2015,68.0
Education,2015,7.0
Restaurants & hotels,2015,45.1
Miscellaneous goods & services,2015,39.7
Other expenditure items,2015,73.6
Average per person,2015,224.5
Food & non-alcoholic drinks,2016,58.58
"Alcoholic drinks, tobacco & narcotics",2016,12.019
Clothing & footwear,2016,25.351000000000003
Housing fuel & power,2016,73.326
Household goods & services,2016,39.693
Health,2016,7.372999999999999
Transport,2016,80.49700000000001
Communication,2016,17.372
Recreation & culture,2016,74.235
Education,2016,5.757000000000001
Restaurants & hotels,2016,50.601000000000006
Miscellaneous goods & services,2016,42.21799999999999
Other expenditure items,2016,72.72
Average per person,2016,236.13800000000003
Food & non-alcoholic drinks,2017,63.196
"Alcoholic drinks, tobacco & narcotics",2017,13.0536
Clothing & footwear,2017,25.589199999999995
Housing fuel & power,2017,78.94319999999999
Household goods & services,2017,42.3724
Health,2017,7.251999999999999
Transport,2017,84.1232
Communication,2017,18.5444
Recreation & culture,2017,77.7
Education,2017,9.013199999999998
Restaurants & hotels,2017,52.11079999999999
Miscellaneous goods & services,2017,45.376799999999996
Other expenditure items,2017,79.25399999999999
Average per person,2017,248.8472
Food & non-alcoholic drinks,2018,65.61399999999999
"Alcoholic drinks, tobacco & narcotics",2018,13.78
Clothing & footwear,2018,25.97
Housing fuel & power,2018,84.16400000000002
Household goods & services,2018,43.46
Health,2018,8.48
Transport,2018,90.1
Communication,2018,22.578000000000003
Recreation & culture,2018,81.83200000000001
Education,2018,6.042000000000001
Restaurants & hotels,2018,54.483999999999995
Miscellaneous goods & services,2018,48.44200000000001
Other expenditure items,2018,82.57400000000001
Average per person,2018,263.728
Food & non-alcoholic drinks,2019,68.6686
"Alcoholic drinks, tobacco & narcotics",2019,13.906199999999998
Clothing & footwear,2019,25.2252
Housing fuel & power,2019,89.47399999999999
Household goods & services,2019,39.347
Health,2019,8.839599999999999
Transport,2019,87.9648
Communication,2019,23.069199999999995
Recreation & culture,2019,80.6344
Education,2019,4.851
Restaurants & hotels,2019,57.026199999999996
Miscellaneous goods & services,2019,49.2646
Other expenditure items,2019,85.48539999999998
Average per person,2019,268.0986
Food & non-alcoholic drinks,2020,75.35880000000002
"Alcoholic drinks, tobacco & narcotics",2020,15.3549
Clothing & footwear,2020,15.790500000000002
Housing fuel & power,2020,92.1294
Household goods & services,2020,37.5705
Health,2020,7.296300000000001
Transport,2020,66.2112
Communication,2020,22.760099999999998
Recreation & culture,2020,49.549499999999995
Education,2020,9.0387
Restaurants & hotels,2020,19.928700000000003
Miscellaneous goods & services,2020,40.5108
Other expenditure items,2020,72.8541
Average per person,2020,223.57170000000002
